"","X2.Hacid_dh","X4PPT_N","AAA_21","Abhydrolase_8","AbiEi_WP_092960020.1","AbiEi_WP_170110179.1","AbiEii_WP_069691453.1","Acetyltransf_4","Adenine_glyco","AdoMet_Synthase","Aldedh","BPD_transp_1","BioY","BrxP_00001","CARF1..CARF_HEPN_MK_CARF_00010413","CARF1..CARF_HEPN_MK_CARF_00010458","CARF1..CARF_HEPN_MK_CARF_00012985","CARF1..CARF_HEPN_MK_CARF_00100024","CARF1..CARF_HEPN_MK_CARF_01000268","CARF1..CARF_HEPN_MK_CARF_01000310","CARF1..CARF_HEPN_MK_CARF_01001754","CARF2..CARF_HEPN_CSX20_CARF2..CARF_HEPN_CSX20","CARF2..CARF_HEPN_MK_CARF_00010257","CARF2..CARF_HEPN_MK_CARF_00101038","CARF2..CARF_MK_CARF_01001217","CARF3..CARF_MK_CARF_01000494","CARF3..CARF_MK_CARF_01001287","CARF4..CARF_PDDEXK_MK_CARF_00100567","CARF4..CARF_PDDEXK_MK_CARF_01001678","CARF5..CARF_MK_CARF_00010430","CARF7..CARF_RelE_MK_CARF_00011267","COG1332","COG1421","COG1567","Carb_kinase","Cas10_IIIa_WP_087192840.1","Cas12d","Cas1_IIIa_WP_000655858.1","Cas1_IIIa_WP_158094482.1","Cas1_IIIb_Cas1_IIIb","Cas1b_WP_035727688.1","Cas1b_WP_142933338.1","Cas1fv_WP_091991229.1","Cas1g_WP_005511840.1","Cas2_IIIa_Cas2_IIIa","Cas2_IIIb_Cas2_IIIb","Cas2b_WP_014295803.1","Cas2b_WP_028460064.1","Cas2b_WP_038071942.1","Cas6_IIIa_WP_087192841.1","Cas6_IIIa_YP_009360199.1","Cas6b_WP_066632526.1","Cas6d_WP_087711943.1","CcdB","Csm5","DDE_2","DDE_Tnp_IS240","DDRGK","DHH","DHO_dh","DUF1403","DUF1778","DUF2277","DUF2290_Pers","DUF2293","DUF3149","DUF3419","DUF3558","DUF3791","DUF3793","DUF4317","DUF4760","DUF5024","DUF5320","DUF5343","DUF576","DUF5831","DUF5998","DUF6002","DUF6101","DUF6398","DUF6479","DUF6527","DUF937","DpdF_00011","DprA","DrmD_00007","E1.E2_ATPase","EAL","ECF.ribofla_trS","ECH_1","Ectoine_synth","Effector_00029","Effector_00062","EpuA","FMN_bind","Fe.ADH","FeoB_associated","Flavodoxin_4","GATase_2","GHMP_kinases_N","HTH_18","HTH_31","Herpes_LMP1","IF.2","IetA_00002","IreB","Isochorismatase","Itfg2","JetC1_00001","KBTB_W.LIR","Lar_restr_allev","LicD","Lipoprotein_8","LppA","MTase_I_00004","Metallophos","Metallophos_3","MurJ","MzaA_00001","NQR2_RnfD_RnfE","OmdA","PEP.utilizers_C","PHD_like","PIN_9","PPR_long","PRAI","Pam16","PanZ","Pan_kinase","ParD_antitoxin","PepX_C","Peptidase_M20","Phage_terminase","PhdYeFM_antitox","Piezo_RRas_bdg","Pilus_CpaD","Pox_F16","PreAtp.grasp","RBFA","RE_XamI","REase_I_00001","REase_I_00008","RelA_SpoT","RelB","Ribosomal_L12_N","Ribosomal_S18","Ribosomal_S6","Rnf.Nqr","Rrf2","RtcR..CARF_AAA_HTH_MK_CARF_00010755","SBP_bac_1","SDH_sah","SNF","SSB","SmAKAP","Specificity_I_00033","SspA_00001","Sulfate_transp","T7SS_ESX_EspC","TFIIIC_sub6","TGBp3","TP_methylase","TadF","ThiW","Thiolase_N","TnpV","TnsB_0_V.K","Transgly","TruB_N","TsaD","TsaE","UDPGP","UPF0102","UPF0236","UPF0257","V_U4","Virulence_RhuM","YafQ_toxin","Yip1","YjgF_endoribonc","Zn_peptidase_2","ZorD1_00005","cas1","cas3_yersinia","cas5_csm4","cas7_TM1809","cas_HTH","cas_TM1807_csm5","cas_TM1810_Csm2","cas_TM1811_Csm1","cas_csm6","caspase","cd06127","cd09647","cd09662","cd09663","cd09680","cd09684","cd09725","cls000004","cls000023","cls000118","cls000184","cluster10","csm3_IIID_maka_6","csm4_IIIA_maka_3","darG","darT","drt.cluster579","icity0067","icity0107","mREase_IV_00004","mREase_IV_00005","mkCas0066","mkCas0081","mkCas0085","mkCas0089","mkCas0182","pVip.lone","pfam01867","pfam03750","pfam08800","pfam09455","pfam09611","pfam09614","pfam09615","pfam09618","pfam09701","pfam09827","pfam13280","retron_type_I_B1_atpase_toprim_cluster22_2","retron_type_VI_hth_cluster2_1","shah_acc_0002","shah_acc_0035","shah_acc_0077","shah_acc_0186","shah_acc_0193","shah_acc_0214","shah_acc_0227","tRNA.synt_1b","xls002255"
"6",0.03626943,0,0.494818653,0,0,0,0,0.033678756,0,0,0,0.129533679,0,0,0.660621762,0,0,0.075129534,0,0.023316062,0,0,0,0,0,0,0.023316062,0,0,0,0,0.121761658,0.012953368,0.39119171,0,0.64507772,0,0.650259067,0,0,0,0.088082902,0,0,0.541450777,0,0.329015544,0,0,0.616580311,0,0.347150259,0,0,0.437823834,0,0.025906736,0,0.233160622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.950777202,0,0,0.028497409,0,0,0,0,0,0,0,0,0.038860104,0,0,0,0,0,0,0,0,0.007772021,0,0.023316062,0,0.015544041,0.007772021,0,0,0,0.020725389,0,0,0,0,0,0,0,0,0,0,0,0.012953368,0.025906736,0,0,0,0,0,0,0,0,0,0.010362694,0,0,0,0.069948187,0,0,0,0,0.10880829,0,0,0,0.829015544,0,0,0,0,0.007772021,0.007772021,0,0,0,0,0,0,0.010362694,0,0,0.028497409,0.010362694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018134715,0,0,0,0,0.189119171,0.308290155,0.067357513,0.059585492,0.559585492,0,0,0,0,0.093264249,0.341968912,0,0.362694301,0.67357513,0,0,0.018134715,0.028497409,0,0,0,0.049222798,0,0,0,0,0,0,0,0.207253886,0,0,0.349740933,0,0.075129534,0,0.321243523,0,0,0,0,0,0,0,0,0.025906736,0.064766839,0.049222798,0.194300518,0,0,0.03626943,0,0.049222798,0,0,0.020725389
"13",0,0,0.010416667,0,0,0,0,0.020833333,0,0,0,0,0,0,0,0,0,0.010416667,0,0.010416667,0,0.041666667,0,0,0.677083333,0.010416667,0,0,0,0,0,0.010416667,0,0.552083333,0,1.072916667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.802083333,0,0,0,0,0.21875,0.010416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.354166667,0,0,0,0,0,0,0,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.520833333,0,0,0.135416667,0,0,0,0,0,0,0.020833333,0,0,0,0.010416667,0,0.010416667,0,0,0,0,0,0,0,0,0,0,0.010416667,0,0,0,0,0,0.302083333,0.3125,0,0,0.479166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4375,0,0,0,0.260416667,0.010416667,0,0,0,0,0,0,0,0,0.614583333,0.041666667,0.010416667,0.854166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.864583333,0,0,0,0,0,0,0,0,0,0,0.041666667,0.708333333,0.395833333,0,0,0,0.010416667,0,0.020833333,0
"14",0.016359918,0,0.006134969,0,0,0,0,0.00204499,0.00204499,0,0,0.030674847,0,0.00204499,0,0,0,0.008179959,0,0.044989775,0,0,0,0,0.605316973,0.036809816,0.008179959,0,0,0,0,0.00408998,0,0.063394683,0,1.016359918,0,0,0,0,0,0,0,0,0,0,0,0,0.00204499,0.744376278,0,0,0,0.00408998,0.750511247,0.00408998,0.00204499,0,0.00204499,0.00204499,0,0,0,0,0,0,0,0,0.071574642,0,0,0,0,0,0,0,0,0,0,0,0.439672802,0.042944785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010224949,0.00204499,0,0,0,0,0,0,0.044989775,0,0,0,0,0,0.00204499,0,0.016359918,0,0,0,0,0,0.288343558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028629857,0,0,0,0,0,0,0,0,0,0,0,0,0.042944785,0.00408998,0,0.00204499,0,0,0,0,0,0,0,0,0,0,0,0,0.00408998,0,0,0,0,0,0,0,0,0,0,0.00204499,0,0,0,0,0,0,0,0.683026585,0.008179959,0,0.006134969,0,0,0,0,0,0,0,0.044989775,0,0.803680982,0,0,0.008179959,0.82208589,0,0,0,0,0,0,0.006134969,0,0,0.333333333,0.408997955,0,0.00408998,0,0.00204499,0,0.00204499,0,0.834355828,0,0,0,0,0,0,0,0,0.006134969,0,0.302658487,0.666666667,0,0,0.014314928,0.437627812,0,0,0,0
"16",0,0,0.267080745,0,0,0,0,0,0,0,0,0.02484472,0,0,0,0,0,0.01863354,0,0.534161491,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298136646,0.00621118,1.02484472,0,0,0.01242236,0,0.00621118,0,0,0,0,0,0,0.00621118,0,0.608695652,0,0,0,0,0.099378882,0,0.01242236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00621118,0.00621118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01242236,0,0,0,0.01242236,0.00621118,0,0,0,0,0,0,0,0,0,0.01242236,0,0,0,0,0,0,0,0,0.118012422,0,0,0,0,0,0,0,0,0,0,0,0,0.00621118,0,0,0,0,0.00621118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0.00621118,0,0,0,0,0,0,0,0,0,0.111801242,0.01863354,0.00621118,0.00621118,0,0,0,0,0,0.267080745,0.527950311,0,0.00621118,0.708074534,0.01863354,0.00621118,0,0,0,0.01242236,0,0.273291925,0,0,0,0,0,0,0,0,0,0,0.00621118,0.00621118,0,0,0.465838509,0,0,0,0,0,0,0,0,0.01242236,0.00621118,0.031055901,0,0,0,0,0.00621118,0.00621118,0,0,0
"19",0,0,0.35546875,0,0,0,0,0.029296875,0,0,0,0.59375,0,0,0,0,0,0.15234375,0.99609375,0,0,0,0,0,0,0,0,0,0.00390625,0,0,0.0390625,0,0.115234375,0,1.021484375,0,0,0.734375,0,0,0,0,0,0.11328125,0,0,0,0,1,0,0,0,0,0.62890625,0,0,0,0.080078125,0.357421875,0,0,0,0,0,0,0,0,0,0.00390625,0.001953125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009765625,0,0,0,0.037109375,0.00390625,0,0,0,0.056640625,0,0,0,0,0.00390625,0,0,0,0.056640625,0,0,0,0,0,0,0,0.193359375,0,0,0,0,0.056640625,0,0,0,0,0,0,0,0,0,0.005859375,0,0,0,0.00390625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0078125,0,0,0,0,0,0,0,0,0,0,0.724609375,0.009765625,0,0,0.00390625,0,0,0,0.001953125,0.00390625,0.185546875,0.005859375,0,0.869140625,0.541015625,0,0,0,0,0,0,0.021484375,0,0,0,0,0,0.0078125,0,0,0,0,0,0,0,0.0078125,0.88671875,0,0,0,0,0,0,0,0,0,0.005859375,0.0546875,0,0,0,0,0,0.087890625,0,0,0
"24",0,0,0.051162791,0,0,0,0,0,0,0,0,0.037209302,0.404651163,0,0,0,0,0,0.004651163,0.879069767,0,0,0,0,0,0,0.004651163,0,0,0,0,0.004651163,0,0.762790698,0,1.009302326,0,0,0.753488372,0,0,0,0.334883721,0,0.744186047,0,0,0,0,0.869767442,0,0,0,0,0.795348837,0,0,0,0,0.004651163,0,0,0,0,0,0,0.409302326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.525581395,0.465116279,0,0,0.004651163,0,0,0,0,0,0.544186047,0,0.004651163,0,0,0.36744186,0,0,0,0,0,0.413953488,0,0,0,0.004651163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.390697674,0,0,0,0,0.037209302,0,0,0.009302326,0,0,0,0,0,0.297674419,0,0,0,0,0,0,0.48372093,0,0.376744186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.334883721,0.36744186,0.004651163,0,0,0.176744186,0,0.381395349,0,0,0,0,0.339534884,0.027906977,0.404651163,0.409302326,0,0,0,0,0,0.013953488,0,0.120930233,0.176744186,0.004651163,0.553488372,0,0,0,0,0,0,0.004651163,0,0,0,0,0,0.013953488,0,0.046511628,0.004651163,0,0,0,0,0.004651163,0,0.96744186,0,0,0.353488372,0.372093023,0.48372093,0.493023256,0,0.009302326,0,0,0.013953488,0,0,0,0.460465116,0,0,0,0.386046512,0
"25",0,0,0.3,0,0,0,0,0,0,0,0,0.508333333,0,0.008333333,0,0,0,0.708333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.033333333,0,0,0.75,0,0,0,0,0,0.716666667,0,0,0,0,0.908333333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0.433333333,0.216666667,0,0,0,0.016666667,0,0,0,0,0,0,0,0.008333333,0,0,0.033333333,0.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.358333333,0,0,0,0,0,0.016666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008333333,0,0.016666667,0,0,0,0,0,0,0.008333333,0,0.075,0,0,0,0,0,0,0.458333333,0.016666667,0,0,0.008333333,0,0.991666667,0,0,0,0,0,0,0,0.916666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.991666667,0,0,0,0,0,0,0,0,0.016666667,0.025,0.008333333,0,0,0,0.025,0,0,0,0,0
"27",0,0,0.093333333,0,0,0,0,0.048888889,0,0,0.013333333,0.057777778,0,0.048888889,0.008888889,0,0,0.342222222,0,0.288888889,0,0,0,0.008888889,0,0.031111111,0,0,0,0,0,0.008888889,0,0.333333333,0,1,0,0,0.591111111,0,0,0,0,0,0.444444444,0,0,0,0,0.871111111,0,0,0,0,0.742222222,0,0.008888889,0,0.013333333,0.008888889,0,0,0,0,0,0.017777778,0,0,0,0,0,0,0,0,0,0,0,0,0.031111111,0,0,0,0,0,0,0,0,0,0.026666667,0,0.008888889,0,0,0,0,0,0,0,0,0,0.013333333,0,0,0,0,0.022222222,0.013333333,0,0,0,0,0,0,0,0,0,0,0.044444444,0,0.026666667,0,0,0.044444444,0,0,0,0,0,0.008888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057777778,0,0,0,0,0,0,0,0,0.017777778,0.026666667,0,0,0.048888889,0,0,0,0,0,0,0.08,0.008888889,0,0,0,0,0,0,0,0,0.013333333,0,0,0,0.04,0,0.008888889,0,0,0,0,0.444444444,0.048888889,0,0.115555556,0.008888889,0,0,0,0.022222222,0.075555556,0.066666667,0.164444444,0,0.906666667,0.088888889,0,0,0,0,0,0,0.008888889,0,0,0,0,0,0,0,0,0,0,0,0,0.022222222,0,0.862222222,0,0,0,0,0,0,0,0,0.035555556,0.031111111,0.057777778,0,0,0,0.044444444,0,0,0,0.04,0
"28",0,0.910714286,0.9375,0.910714286,0,0.946428571,0.946428571,0,0,0,0,1.660714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0.982142857,0,0,0,0,0,1.017857143,0,0,0.910714286,0,0.901785714,0.910714286,0,0.017857143,0,0,0.910714286,0.946428571,0,0.910714286,0.910714286,0,0.910714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.910714286,0,0,0,0,0,0,0.946428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.910714286,0,0,0.946428571,0.910714286,0,0.910714286,0,0.151785714,0,0,0,0,0.946428571,0.946428571,0,0,0,0,0,0.910714286,0.910714286,0,0.901785714,0,0,0,0.901785714,0,0.008928571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.910714286,0,0,0,0.910714286,0,0,0,0,0,0.8125,0,0.910714286,0,0.910714286,0,0,0,0,0.910714286,0,0.892857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1.892857143,0,0,1,0,0,0,0.910714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68",0,0.693969397,0.9549955,0.702070207,0,0.722772277,0.724572457,0,0,0,0,1.789378938,0,0,0,0,0,0.03330333,0,0,0,0,0,0,0,0.00090009,0,0,0,0,0,0.650765077,0,0,0,1.01170117,0,0,0.650765077,0,0,0,0,0,0.669666967,0,0,0,0,0,1.00360036,0,0,0.700270027,0,0.779477948,0.726372637,0,0.582358236,0,0,0.702970297,0.95679568,0,0.702970297,0.709270927,0,0.697569757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.695769577,0,0,0,0,0,0,0.96309631,0,0,0,0,0,0,0,0,0,0,0,0,0,0.409540954,0,0,0,0,0,0.656165617,0,0,0.915391539,0.704770477,0,0.693969397,0.00180018,0.718271827,0,0,0,0,0.96759676,0.928892889,0,0,0,0,0,0.702970297,0.693069307,0,0.708370837,0,0,0,0.687668767,0,0.541854185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714671467,0,0,0,0.700270027,0,0,0,0,0,0.548154815,0,0.725472547,0,0.694869487,0,0,0,0,0.713771377,0,0.670567057,0,0,0,0,0,0,0,0,0,0.00180018,0.00090009,0.00090009,0.00090009,0,0.635463546,0,0,1.00090009,0,0,0,1.01170117,0,0,0,0,1.667866787,0,0,0.99729973,0,0,0,0.727272727,0,0,0,0,0,0,0,0,0,0,0.00180018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00090009,0,0,0,0,0
"82",0,0,0.06132879,0,0,0,0,0.035775128,0,0,0,0.056218058,0.010221465,0.064735945,0,0,0,0,0,0,0.136286201,0.015332198,0.008517888,0.097103918,0,0,0.015332198,0,0.137989779,0.32879046,0.037478705,0.011925043,0.090289608,0.098807496,0,0,0,0,0,0.017035775,0.008517888,0.008517888,0,0,0,0.010221465,0.02044293,0.025553663,0,0.057921635,0,0.00681431,0.085178876,0,0.144804089,0,0.011925043,0,0,0,0.008517888,0.010221465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015332198,0,0,0,0,0,0,0,0,0.018739353,0,0,0.011925043,0,0,0,0,0,0,0,0.01362862,0.008517888,0,0,0,0,0,0.037478705,0,0,0,0,0,0,0,0,0,0,0,0.015332198,0,0,0,0,0,0.011925043,0.011925043,0,0,0,0,0,0,0,0,0,0.028960818,0,0,0.011925043,0,0,0,0,0,0,0.008517888,0,0.008517888,0,0,0,0,0,0,0,0.011925043,0,0,0.023850085,0,0,0,0,0,0,0,0.02725724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059625213,0,0.238500852,0.511073254,0,0.103918228,0.022146508,0.02044293,0,0,0,0.059625213,0.310051107,0.122657581,0.994889267,0.168654174,0.614991482,0.008517888,0.090289608,0,0,0.011925043,0.304940375,0,0,0,0.02044293,0,0.015332198,0,0,0.596252129,0,0.010221465,0.483816014,0.357751278,0.030664395,0.417376491,0.805792164,0,0,0,0,0,0,0,0.02725724,0.01362862,0.042589438,0.059625213,0,0.051107325,0,0.045996593,0,0,0.110732538,0,0.01362862
"85",0,0,0.183783784,0,0,0,0,0,0,0,0,0.086486486,0,0.010810811,0,0,0.810810811,0,0,0,0,0,0,0.064864865,0,0,0.005405405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010810811,0,0.027027027,0,0,0.016216216,0,0,0,0,0.016216216,0.140540541,0,0.021621622,0,0,0,0,0.021621622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010810811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005405405,0,0,0,0,0.027027027,0.021621622,0,0,0.005405405,0,0,0,0.010810811,0,0,0,0.027027027,0,0,0,0,0.005405405,0.005405405,0,0,0,0,0,0,0,0,0.021621622,0,0.010810811,0,0,0,0.567567568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021621622,0,0,0,0,0.010810811,0,0,0,0,0,0,0,0,0,0,0,0.010810811,0,0,0,0,0,0.005405405,0,0,0,0,0,0.897297297,0.005405405,0.594594595,0.048648649,0.864864865,0,0,0,0.816216216,0.221621622,0,0.135135135,0,0.048648649,0,0,0,0,0.010810811,0,0,0.005405405,0,0,0,0,0,0,0,0.767567568,0,0.875675676,0.027027027,0,0.102702703,0.032432432,0,0,0,0,0,0,0.010810811,0,0,0.005405405,0.010810811,0,0,0,0.048648649,0,0,0,0,0
"86",0,0,0.141643059,0,0,0,0,0.042492918,0,0,0,0.141643059,0.084985836,0.121813031,0,0,0.039660057,0,0,0,0.019830028,0,0,0.150141643,0,0,0.02266289,0,0.033994334,0.025495751,0.045325779,0.07082153,0.062322946,0.130311615,0,0,0,0,0,0.014164306,0.011331445,0.300283286,0,0,0,0,0.484419263,0.014164306,0,0,0,0.42776204,0.02266289,0,0.351274788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014164306,0,0,0,0,0,0.025495751,0,0,0,0.053824363,0,0,0,0,0,0,0,0.033994334,0,0,0,0,0,0,0,0,0.016997167,0,0,0,0,0,0,0,0.031161473,0,0,0,0.025495751,0,0.028328612,0,0,0,0,0,0,0,0.053824363,0,0,0,0,0.028328612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067988669,0,0.09631728,0,0,0,0,0.016997167,0,0,0,0,0,0,0,0,0,0,0.031161473,0,0,0,0,0,0.110481586,0.019830028,0.065155807,0.04815864,0,0,0.014164306,0,0,0,0,0.407932011,0.365439093,0.028328612,0.079320113,0,0.093484419,0,0,0.016997167,0,0.424929178,0.399433428,0.917847025,0.424929178,0.113314448,0.059490085,0.099150142,0.11898017,0,0.09631728,0.186968839,0,0,0,0.30878187,0,0,0,0,0.076487252,0,0,0.02266289,0.025495751,0.042492918,0.099150142,0.818696884,0,0.014164306,0,0,0,0,0.019830028,0,0.121813031,0.050991501,0.093484419,0,0,0,0.042492918,0,0.028328612,0.042492918,0,0.130311615
